time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,school_main_phase,count_schools,school_places,pupils_on_roll,at_or_over_capacity_schools,percent_at_or_over_capacity_schools,pupils_over_capacity,percent_pupils_over_capacity,under_capacity_schools,percent_under_capacity_schools,unfilled_places,percent_unfilled_places
202223,Academic year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,Primary,124,32250,29985,33,26.61290323,237,0.734884,91,73.38709677,2502,7.75814
202223,Academic year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,Secondary,23,26798,24819,10,43.47826087,493,1.83969,13,56.52173913,2472,9.224569
202223,Academic year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,Total,149,54989,48959,32,21.47651007,442,0.803797,117,78.52348993,6472,11.769627
202223,Academic year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,Primary,129,30994,27442,25,19.37984496,205,0.661418,104,80.62015504,3757,12.121701
202223,Academic year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,Secondary,20,23995,21517,7,35,237,0.987706,13,65,2715,11.314857
202223,Academic year,Local authority,E92000001,England,E12000002,North West,942,E06000063,Cumberland,Total,164,43959,37010,24,14.63414634,362,0.823495,140,85.36585366,7311,16.631407
202223,Academic year,Local authority,E92000001,England,E12000002,North West,942,E06000063,Cumberland,Primary,145,24221,20078,20,13.79310345,198,0.817472,125,86.20689655,4341,17.922464
202223,Academic year,Local authority,E92000001,England,E12000002,North West,942,E06000063,Cumberland,Secondary,19,19738,16932,4,21.05263158,164,0.830885,15,78.94736842,2970,15.047117
202223,Academic year,Local authority,E92000001,England,E12000002,North West,943,E06000064,Westmorland and Furness,Total,142,35115,28804,26,18.30985915,543,1.546348,116,81.69014085,6854,19.518724
202223,Academic year,Local authority,E92000001,England,E12000002,North West,943,E06000064,Westmorland and Furness,Primary,122,18157,14655,21,17.21311475,193,1.062951,101,82.78688525,3695,20.350278
202223,Academic year,Local authority,E92000001,England,E12000002,North West,943,E06000064,Westmorland and Furness,Secondary,20,16958,14149,5,25,350,2.063923,15,75,3159,18.628376
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,E08000016,Barnsley,Total,88,35746,33033,14,15.90909091,173,0.48397,74,84.09090909,2886,8.073631
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,E08000016,Barnsley,Primary,77,21056,19544,12,15.58441558,103,0.489172,65,84.41558442,1615,7.670023
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,E08000016,Barnsley,Secondary,11,14690,13489,2,18.18181818,70,0.476515,9,81.81818182,1271,8.652144
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,371,E08000017,Doncaster,Total,118,52491,44649,12,10.16949153,162,0.308624,106,89.83050847,8004,15.248328
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,371,E08000017,Doncaster,Primary,98,29723,25733,11,11.2244898,103,0.346533,87,88.7755102,4093,13.770481
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,371,E08000017,Doncaster,Secondary,20,22768,18916,1,5,59,0.259136,19,95,3911,17.177618
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,372,E08000018,Rotherham,Total,112,48420,41892,18,16.07142857,172,0.355225,94,83.92857143,6700,13.837257
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,372,E08000018,Rotherham,Primary,96,26594,22830,15,15.625,50,0.188012,81,84.375,3814,14.341581
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,372,E08000018,Rotherham,Secondary,16,21826,19062,3,18.75,122,0.558966,13,81.25,2886,13.222762
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,373,E08000019,Sheffield,Total,163,84041,79409,47,28.83435583,1036,1.232732,116,71.16564417,5668,6.744327
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,373,E08000019,Sheffield,Primary,133,46946,43982,38,28.57142857,290,0.617731,95,71.42857143,3254,6.931368
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,373,E08000019,Sheffield,Secondary,30,37095,35427,9,30,746,2.011053,21,70,2414,6.507616
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,E08000032,Bradford,Total,191,100318,92784,36,18.84816754,569,0.567196,155,81.15183246,8103,8.077314
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,E08000032,Bradford,Primary,156,56543,52155,27,17.30769231,125,0.221071,129,82.69230769,4513,7.981536
