time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,education_phase,count_schools,count_schools_with_primary_and_secondary_capacity,school_places,pupils_on_roll,primary_capacity,secondary_capacity,primary_pupils_on_roll,secondary_pupils_on_roll
202324,Academic year,Local authority,E92000001,England,E12000004,East Midlands,941,E06000062,West Northamptonshire,Total,8,3,1080,1200,370,710,403,797
202324,Academic year,Local authority,E92000001,England,E12000004,East Midlands,941,E06000062,West Northamptonshire,Primary,2,0,160,167,160,0,167,0
202324,Academic year,Local authority,E92000001,England,E12000004,East Midlands,941,E06000062,West Northamptonshire,Secondary,6,3,920,1033,210,710,236,797
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,Total,27,12,4652,4921,1825,2827,1940,2981
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,Primary,10,1,1013,1142,1012,1,1118,24
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,Secondary,17,11,3639,3779,813,2826,822,2957
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,Total,8,2,1099,1265,496,603,543,722
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,Primary,3,0,357,381,357,0,381,0
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,Secondary,5,2,742,884,139,603,162,722
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,Total,7,5,982,982,448,534,448,534
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,Primary,1,0,112,112,112,0,112,0
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,Secondary,6,5,870,870,336,534,336,534
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,Total,6,2,923,876,454,469,278,598
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,Primary,2,0,297,200,297,0,200,0
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,Secondary,4,2,626,676,157,469,78,598
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,Total,6,6,849,804,336,513,343,461
